"category","texts"
"Vietnamese","In addition to great food, D1 serves quality service!

We came in for a late lunch because I wanted to try this place, but coming for dinner hours is a...This place was definitely way better than expected! 

The pho soups were phenomenal! 
Very flavorful and delicious 

The pork belly buns were delicious!...I heard District One's five year anniversary is coming up, after numerous visits, this review is long overdue...

D1 Service & Ambiance: They get busy..."
"French","Honestly i enjoyed this dining experience more than next door. This is definitely a more casual experience and more seemingly ""accessible"" so maybe that's...To start, this is a 1 Michelin Star restaurant in 2009. That being said I will have to say that I loved my experience and the food now at 2019. 

You have a...This was our third time here but first time posting!
We came back again to see anything change after Robuchon passed away, the food is just as good as used..."
"Vegan","Best. Vegan. Donuts. Ever! Our new must go each time we go to Vegas. 
Definitely worth the trek (or bus ride or drive) to Chinatown. We rode the bus, which...I love Ronald's Donuts.  I used to live in Vegas, but I took this place for granted and didn't come often.  Now I try to go whenever I'm in Vegas.  Forget...I have been craving a donut for a while, but not just any donut. And to reward myself for skipping the donut at Dunkin Donuts this morning, I decided to..."
"American (New)","Very delicious burgers!
I want to say one of the best ones i had!
Get it medium and taste the beef it's yummm!Enjoyed the Veggie Burger as it was done perfectly. Where the kitchen fell flat is when they served us mescslun salad and claimed it was a ""special"" kind of...On the beer menu,I had to get the 3rd option - 1st 2 choices (on the menu) were not available...
I wanted to try a very fancy burger (The Rossini). really..."
"Mexican","I loved this place soo much!! From the complimentary cup of fideo to the special birthday sombrero and fake celebratory tequila shot. 

We are in town for a...Service 5/5
Food 5/5
Music 5/5 

 Overall, best Mexican restaurant I've been to in Las VegasThe atmosphere is nice. There are other Lindo Michoacán locations that I feel are better. 

I ordered the cheese enchiladas here and they were actually a..."
"Mexican","Legitimately a good place to have lunch, great taco selection and real tasty stuff!

Its a recommend!I love the concept and decor, but the last few times I went, the food hasn't seemed as fresh as it used to.  The corn salad, which we used to love, has been...Some friends and I came here recently for a little Sunday Funday action. They have a happy hour daily from 3-6 pm featuring food and drink specials. We were..."
"Mexican","The BEST sushi burrito I've ever had! I've had great sushi burritos from San Francisco, New York, and Washington DC but Soho's food tops it all. 
I first...Who doesn't love a good sushi bowl or burrito? This is great when you want something yummy and not too guilty. The fish is pretty fresh and there's...Ahi tuna, yellowtail, salmon, cucumber, red onion, cilantro, masago, crispy wonton strips, wasabi aioli.... Unagi (BBQ eel), surimi crab, shrimp tempura,..."
"Italian","Beautiful restaurant, the lighting inside at night is quite dark but has a romantic ambience, great place for a nice date. If you have a reservation you can...I'd been to Scarpetta before years ago when the restaurant was fairly new and I remembered the food was quite good, so I decided to take my girlfriends...The food was excellent. To start, we had the creamy polenta, which was delicious (we split it in half). On top of that, they have complimentary bread which..."
"Thai","Had the opportunity to enjoy a meal with my family here last week.  The food was very flavorful and delicious.  I had the Pad Thai and requested it without...Location: Off the Strip, on Sahara

Service: Warm / Friendly

I'm always in the mood for Thai. Since Lotus isn't open on Sundays for lunch, we decided to...Five stars simply for the hard-to-find dishes on the menu.  Actually, a lot more than just the selection.  I took my brothers to Weera because of the..."
"American (Traditional)","Okay, so this was my second time to Karved and as usual the food was flavorful. I ordered the Vegetarian Pita, my husband ordered the hummus and pita chips...In town on business. Yelped food nearby. This is number two on the list sorted by rating. So one of the highest rated restaurants near the strip. Probably...Checked this place on a Sunday afternoon with my Fiance. Very simple menu, but everything look great! We ordered the Prochetta, chicken fries, and hummas..."
"Mediterranean","Ok so I spent a little bit of time in the hospital right near this restaurant and we all now the lovely hospital food- GROSS! So I was hungry.  Did what I...March 8, 2019. First visit with the fam. Past 7:00pm and the place is capacity-full with people of all ages, which is a good indication for a Friday...Had just arrived in Vegas and after a three hour or so drive through the desert, you get kind of hungry. I was really in the mood for Mediterranean food so..."
"American (Traditional)","The fries are more than enough for 2 people!! 

Our waiter was fantastic (I feel so bad for forgetting his name!) & very helpful.

I ordered the...Hands down the best burger the hubby and me have eaten. Every bite was flavorful, fresh, and just what we expected and more. 
Get the truffle fries, worth...Hands down, best burger I've ever had and that was the reaction across the table. There is something about the meat and how it's cooked -OMG-I can't even..."
"French","Valentine's Day 2019... babes does it again and snags 7pm reservations to surprise me! Our 2nd Valentine's Day together. :-) 

You have to go down an...It is an ok restaurants. Food was good but not at the level of other restaurants we visited. I think this restaurant suffers from very bad front of the...Here's some poetry for you:

Dine under dim lights next to the dancing Bellagio fountains

Enjoy Michelin-rated Waygu beef, scallops, and foie gras

Dress..."
"Italian","We stopped in for a solid weekend brunch. Very good service and very nicely done restaurant. Both of our meals were good but the prices were quite high for...The food here is not good enough to be this over priced, three sandwiches and a piece of chocolate cake was almost $100.

10 out of 10 would skip again.Fan of the tv show. Not of the restaurant.   If you get a window seat or close to it there is a great view of the strip. The complimentary bread platter is..."
"Thai","This is the best Thai food I have ever had. everything came out so delicate and beautiful. My boyfriend and I got garlic prawns, duck curry, pad kee mao...So the food here is AMAZING! It is 5 stars especially the garlic prawns. The Penang and beef Rama were great too! 
Parking: so much free parking here as...I had probably the worst service I've ever had at a restaurant at this restaurant. During the lunch service I sat at the bar, where I was ignored for long..."
"Korean","I'm here anytime we come to visit Las Vegas, Lunch server is very nice and friendly.
The soup called yookkajang is very delicious.
You should all visit this...Decent Korean BBQ 

But my favorite is Gen still. 

They need to improve the quality of the meet dishes here. And prices are higher.This is the third time I've been here, the previous two experiences are awesome. But this time is horrible, our server, a Korean guy, and another female..."
"American (Traditional)","What an amazing experience! A group of 7 of us went to Lawry's to celebrate a birthday. After we were seated, we started browsing the menu and the maitre d'...This Lawry's host service was pretty disappointing. We made reservations in advance for 7:30pm on a Saturday and we even came early to check in. I kid you...The name speaks for itself. There's no better place to get a prime rib than at Lawry's. I was late in the game and went three times in 2018 after..."
"Korean","I have been their customers for over 3 years, and I always think of here when I'm craving for korean fried chicken.

Staff: they are pretty friendly, but I...I've come here on several occasions and this place has one of the best Korean foods in town. 

The menu has a lot of options from chicken and pizza to...KNOW WHAT YOU'RE GETTING INTO FIRST!

Most Korean joints are exactly the same.
This place is more like a PizzaHut, Wingstop, Snack joint.
The portions are..."
"French","Went to Bardot's for an anniversary dinner and it did not disappoint. We splurged on the Fete Royale. Put yourself in the hands of the Chef!  Two courses of...I would like to name this meal ""The Tour of Bardot"" by Erik and Nelson. I had one of the most memorable experience dinning at this facility because of how...First thing first, you pay a premium for food & drinks on the strip, so the price here is inline with that.  We made a reservation at 6:30 on a Tuesday and..."
"American (New)","Everything about this place is top notch. From the staff to the food to the ambiance. 

Reservation to dining - we ran late and they easily and graciously...Wagyu Beef Tartare was five stars 
Wild Mushroom Risotto was four stars 
Maine Day Boat Scallops was four stars 
Baked Alaska was four starsFine dining with huge portions, delicately executed, and great service!

We came in for dinner and ordered a tasting menu and some a la carte dishes....Everything about this place is top notch. From the staff to the food to the ambiance. 

Reservation to dining - we ran late and they easily and graciously...Wagyu Beef Tartare was five stars 
Wild Mushroom Risotto was four stars 
Maine Day Boat Scallops was four stars 
Baked Alaska was four starsFine dining with huge portions, delicately executed, and great service!

We came in for dinner and ordered a tasting menu and some a la carte dishes...."
"Mediterranean","Everything about this place is top notch. From the staff to the food to the ambiance. 

Reservation to dining - we ran late and they easily and graciously...Wagyu Beef Tartare was five stars 
Wild Mushroom Risotto was four stars 
Maine Day Boat Scallops was four stars 
Baked Alaska was four starsFine dining with huge portions, delicately executed, and great service!

We came in for dinner and ordered a tasting menu and some a la carte dishes....Everything about this place is top notch. From the staff to the food to the ambiance. 

Reservation to dining - we ran late and they easily and graciously...Wagyu Beef Tartare was five stars 
Wild Mushroom Risotto was four stars 
Maine Day Boat Scallops was four stars 
Baked Alaska was four starsFine dining with huge portions, delicately executed, and great service!

We came in for dinner and ordered a tasting menu and some a la carte dishes...."
"Mexican","Let me make it simple:
Food amazing
Crazy micheladas with oysters amazing veracruz style is spicy as shit
Grilled octopus was soooo tender all the flavors...I enjoyed this little spot. It was recommended to me by a friend of mine, we came for the delicious Micheladas. It very small inside, only 11 tables, and...Hands down best mariscos spot I've been to! 
Everything tasted great! 
We ordered the aguacate preparado (prepped avocado) and the prepped oysters also the..."
"Italian","We thoroughly enjoyed our lunch here! Very tasty food, great kid meal ($6 includes drink, meal and lemon cookies or ice cream)

Our son loves his spaghetti...Visited here prior to seeing a show. Great location, at the Fashion Show mall and across from the Wynn hotel. They have both indoor seating and patio...We're so happy we ate here, we just had a bad experience in a restaurant in Sun City, My Mother's house, so this place really made up for such a bad..."
"French","Now a perennial recipient of 5-Star status from Forbes, in addition to several previously-achieved accolades both domestic and international, it was in...Loved the atmosphere. The circus theme started right when you walk into the restaurant... the walls, the ceiling drop, the dishes. 

Service was friendly...I've been to many restaurants in Vegas, and this truly is an experience worth having. My wife and I came here right at opening before a show, and I..."
"Vietnamese","So far I really like this place. The other day I went over there and got The vegetarian spring rolls. The total came out warm and on point and the peanut...Came here looking for some good hang over pho. I've been to assorted hole-in-the-wall vietnamese places around Vegas, but decided to try a new one.

The...This is my go-to whenever I'm craving Vietnamese food or if it's late at night. They close at 6am which is super convenient. 

I try to always get a..."
"American (Traditional)","Wow... I must admit. This is one of the best   steakhouses I have ever eaten at. The price was extremely  reasonable, especially for all it comes with. For...We live in 'Vegas and I took my wife here for a romantic dinner. Good Choice. What exceptional Service. The atmosphere, just dark enough. Cocktails mixed...Extraordinary. And the service is 5 star. But I warn you, it's crazy expensive. My entreé was $67. It was worth it. Collectively 4 of us spent $450 I know...."
"American (New)","Lobster mac & cheese was out of this world. My filet was so tender it just melted in my mouth.  The service was superb too. 

Highly recommend!4.5 stars. 

I like this place. It's walking distance from our house and they always feed me delicious fresh foods that are properly prepared. We are nerds...For our anniversary every year we do it up right at a top notch steakhouse and celebrate.  Generally, we are home (in Denver, CO), and have our 5 star..."
"American (New)","This unlikely gem is hidden on a quaint hotel property, although upon entrance it is entirely possible to loose sight of one's location all together. 
Rooms...Haven't been there before, and my boyfriend and my bffs take me for the dinner date with us, and little bit of crowded people, and meeting one of my bff...Come at your own risk...Red Roof Inn meets Golden Corral, with poor service, bad food and less than ethical bartenders/servers...I had to give it 1-Star to..."
"Italian","Always a great experience here at Ferraro's!
The food is amazing! 
The ambience is beautiful!
The customer service is wonderful!
And location! Location!...Valentine's Day + Italian = Romantico.

Ferraro's is across the way from Hard Rock, peculiarly situated in a plaza consisting of a chain drugstore, hot dog...I'm writing this feedback because we were here many times before and everything was really good. But
This time we got food POISONING.  It happened 2.14.19..."
"Italian","Round tables clean and elegant.
Staff was friendly and attentive replaced dirty plates, made sure glasses were filled. 

Drink orders are filled
Served hot...I've been wanting to try this place for some time now. Heard it is always busy and it certainly was last Thursday night. Had to detour to this place because...Our family had a wonderful lunch there. We used to dine in at their old location from time to time. This was my first time trying out this new location...."
"American (Traditional)","Came here because let's be honest, Ramsay has a good reputation. We had already gone to his Burger location in Planet Hollywood, so we knew his burgers were...So, being a big fan of Gordon Ramsay and his plethora of shows, You Tube channels and various cookbooks, my wife and I decided we needed to try his...After walking all day up and down the strip, my friend and I found ourselves inside Caesars Palace looking for a place where we can rest our painful feet..."
"Italian","This place is a treasure find since I am from North Jersey area and it is extremely difficult to find good Italian food let alone awesome Italian food...I love that I found this place 
Had the #2 Italian sandwich....very good! 
Margarita pizza 
Hot sausage (raw) 

Everything was good.
Will be backThey have some incredible, delicious, filling sandwiches and pizza here. 

Located directly across the UNLV campus, a mum and pop pizza joint owned by a New..."
"American (Traditional)","Upon approach you would think it's just your average diner. However, once inside you see how clean and collective it is. The food was delicious. Their Pot...We went for breakfast this AM.  
Pot bread=SO freaking good.   
Service=Excellent!
My husband ordered an omelette which he felt was just okay(ingredients...I don't get it. The only thing that I would order again was the pot of bread, which is essentially a dinner roll in a muffin tin. I tried the cinnamon...Upon approach you would think it's just your average diner. However, once inside you see how clean and collective it is. The food was delicious. Their Pot...We went for breakfast this AM.  
Pot bread=SO freaking good.   
Service=Excellent!
My husband ordered an omelette which he felt was just okay(ingredients...I don't get it. The only thing that I would order again was the pot of bread, which is essentially a dinner roll in a muffin tin. I tried the cinnamon..."
"American (New)","Upon approach you would think it's just your average diner. However, once inside you see how clean and collective it is. The food was delicious. Their Pot...We went for breakfast this AM.  
Pot bread=SO freaking good.   
Service=Excellent!
My husband ordered an omelette which he felt was just okay(ingredients...I don't get it. The only thing that I would order again was the pot of bread, which is essentially a dinner roll in a muffin tin. I tried the cinnamon...Upon approach you would think it's just your average diner. However, once inside you see how clean and collective it is. The food was delicious. Their Pot...We went for breakfast this AM.  
Pot bread=SO freaking good.   
Service=Excellent!
My husband ordered an omelette which he felt was just okay(ingredients...I don't get it. The only thing that I would order again was the pot of bread, which is essentially a dinner roll in a muffin tin. I tried the cinnamon..."
"American (Traditional)","Always good food.  Veteran discount too 

Awesome portion size for the price.  Coffee pot at the table and they'll give you a cup to go also.  10% veteran...Venture off the strip for once and have breakfast at Egg Works! It's right next to a McDonald's and a few other stores, so while there's ample parking we...My friend and I wanted to do a brunch on Wednesday, the 9th. After reviewing a few other breakfast locations, we decided upon Egg Works since I have never..."
"Mexican","Wife and I came here for brunch, and that was a great choice!

Our favorite plates were the breakfast fries and the steak & eggs. The fries were perfect...This is hard for me to write because I have been dining at Border Grill for years, but the last few have been a disappointment, and the last meal made me...So, I'm not gonna lie, this restaurant is DEFINITELY on the expensive side. My husband and I went for brunch and it was like $40 a plate. HOWEVER, the food..."
"Italian","Visiting Las Vegas and we read about Casa Di Amore. We called last minute and the hostess was kind enough to reserve a table for a party of 12 on Friday...A delicious evening filled with so many carb filled dishes.
I have come here several times, and I haven't been disappointed yet. Service is prompt, and I...My fiancé and visit Casa Di Amore every trip to Vegas, and we are always impressed by the staff's presentation and commitment to providing customer with a..."
"American (New)","Sunday Brunch at Bellagio was excellent. They offer a larger variety of the standards: Eggs, Bacon, Sausage, pancake, French Toast among with a very good...Save your money, we were surprised that there was no line getting in on a Friday evening, maybe because the word has gotten around.

The selection of food...We came during their lunch hours where sushi was not part of the menu. Luckily for us dinner was going to start in an hour or so. So we munched and waited..."
"American (New)","DELICIOUS!!! good size Caesar salads, burrata was to die for as was the beef tartare!!

Steaks delicious of course. Had Brussels and creamy potato sides,...Pros: cool atmosphere, good service, no wait on a Wednesday evening, complimentary bread was delicious.

Cons: overpriced (normal strip prices), food was...This is the best steak house in Las Vegas.

Very cool vibe, steak is always perfect, excellent wine selection, excellent sides. 

No fail restaurant. It..."
"Italian","I didn't know what to expect coming here, I was invited on a dinner date and pulled up not sure if I was overdressed or underdressed. It's a true speakeasy,...My brother asked to come here while he was in town for his birthday so I made reservations 4 days in advance and it was pretty booked so we ended up with a...Fantastic service,Fantastic food, fantastic lounge piano Music nightly! 
Real old style gangster Mob restaurant. Top of the line one of my Las Vegas..."
"American (New)","My friends and wife have all been here and I've been holding off for some reason.  I finally was talked into it tonight and now I know what everyone has...Girl hosts 4* (note to hosts: always say hello and goodbye to the customers, dont forget that You are the first and the last person customers sees)

Our...First time ever eating here. 
Great decor, excellent service with very mediocre food that is waaaay overpriced. Had the bison burger which was just..."
"American (Traditional)","We waited 30 minutes for a table but considering it was the shortest wait time out of all the places we went to to get a table (went to boiling crab and hot...Apparently Crab/crawfish boils are super popular and 2 other ones were over an hour wait. Urban crawfish had no wait and a lot of open tables. Seeing the...Here's the good and the bad from my Monday lunch:
The good: the price point is good. It is cheaper than Hot n Juicy crawfish. The staff was friendly.
The..."
"American (Traditional)","Hubbs made reservations for dinner but bcuz we had a lil emergency w one of our fur babies on day 1 we changed to lunch.

You first have to check in at a...Made reservations for my dads 70th Birthday and Arianna was the girl who helped me. She was very nice and easy to contact using email. I asked if they could...I will say straight up, I have never thought highly of The Stratosphere and never come anywhere near it when I'm in Vegas. However, on a recent trip ""The..."
"Italian","The food is amazing! The price is more than reasonable, if not a priced as a steal for the quality and taste, the service is impeccable, namely Miguel. His...I came here for a work dinner. This spot is good for a romantic date or a group. You can dress pretty casual as there is really no dress code.

The staff is...This is one of the finest restaurants I've had the blessing of experiencing. From the moment you walk in to the dim, secluded dining room, you can sense..."
"American (New)","I'm shocked that I haven't reviewed this place yet. I had known about this place for a while but never made it over until a date invited me. He said it was...Absolutely delicious downtown grub.

I mean I love this place like alot. Initially, I was thrown off by the bar, and sports on the television. I figured...Loved this place went for happy hour and their signature cocktail was a blueberry martini for $6 during happy hour.  The service is excellent and the..."
"American (Traditional)","Pancakes is a must in my life so when I hear that theres a place with AMAZING fluffy pancakes I have to try it.

They have a few locations around town where...Eh, it was alright.

Ample parking in lot.
Organized wait at entrance.
Accurate timed seating.
Friendly and competent service.
Large breakfast...Absolutely horrible customer service. 
The food isn't the issue here at all.
We called and got put on hold for 25 MINUTES!!!!!!!!! No they didn't answer. We..."
"French","Waited in a long line for latte on a cold Las Vegas day. Was it worth the wait? YES! Had this pastry called Kouign Amann. A croissant with a candied crunchy...I loved visiting the Bouchon Bakery in Napa in Yountville so when I passed by this location in Vegas I had to drop in.  I was a bit disappointed that it...Such a cute little spot. We were walking around the Venetian looking for coffee and some sort of breakfast when we found this place.

We got two lattes that..."
"American (New)","First time at Beauty & Essex, as a Las Vegas vegan it's nice to find such a beautiful place for date night!
Lots of lovely jewelry out front
The ambience in...I visited the Beauty & Essex in NYC last year. It was crazy busy.m and the only reservation I could get was at 11 pm. Yikes. I was too tired to really enjoy...First of all, the staff here is amazing. Very clear and courteous. Shout out to our waitress Erin, all of her recommendations were 10/10. She was extremely..."
"American (Traditional)","We stopped in for lunch on two separate occasions during our stay in Vegas. Place gets pretty packed, and the tables are awkwardly close together so be...It was really ""just okay"".

I do love Guy Fieri.  I watch his shows.  I love how over the top he is - i love the disgusting greasy food he eats.  I love it...This place is not worth all the hype at all!!! We weren't impressed at all! We tried the lobster lollipops as an appetizer the fries with it were over..."
"Mediterranean","Cleo serves the best Mediterranean food I have ever tasted, hands down. The experience is certainly one of the highlights from our recent Las Vegas...So glad I finally got a chance to try this place.  There is one in LA where I'm from, so when I saw there was one here in Vegas I had to go.  On the menu,...This was a solid four star restaurant located inside of SLS Casino. My husband has been wanting to try it for a while, and I am a huge fan of tapas style..."
"American (New)","Really cool venue. 

I would recommend this place for the drinks and entertainment more than the food.Best Steak I have had in a long time! There was nothing bad about it. So good I had to lick the plate and make sure I left nothing behind!

I will be back!We dined at Rose. Rabbit. Lie on Saturday night, 2/16/19. 

We were seated in the worst seat in the restaurant, with little to no view of any of the..."
"American (New)","My friends and I came in on whim after walking around the area. The six of us were immediately seated on the patio. Our server was very attentive - super...1 star is for the place itself; the ambience.  

We went to the King of Prussia, PA store with high expectations for a descent meal.  Welp, to our surprise...What a great restaurant located right in the heart of Las Vegas Blvd.  We came down here to do the High Roller and enjoy a nice Friday out.  

We came here..."
"American (New)","If you haven't been, you need to go!  This place is amazing...from the service to the food.  The restaurant itself has a nice intimate setting....perfect...This one is recommended.

Cool fusion dishes, fun relaxed atmosphere, the service is quite good.

Good for funEverything we had was delicious! My personal favorite is the Hamachi Carpaccio. We got the lamb, which is delicious, but was too much for just two people...."
"American (New)","Order the 165 combo.

I think this combo is really good! And I also love the fries!Another amazing meal in Las Vegas. This place was incredibly delicious. My fish was very good and the side plates were amazing. The mushrooms, Brussels...Favorite restaurant of all time! Service is always amazing. We usually start with oysters then appetizers the wagyu tartar was so amazing! Best cucumber..."
"Indian","Best Indian food I have had in America. It was so authentic and they had all the different types of food you can get in the different regions of India. They...The best Indian  in town.  Both locations are great!  Rebel Curry.  Maharaja Chicken Tikka M.  Is smooooth.  Got a spice level 7-perfect.  All the spices,...This is some of the best Indian food I've ever eaten. We came here for the lunch buffet one day & we were blown away. 

Highlights of the lunch buffet were:..."
"Korean","Definitely one of the best spots for modern korean bbq in town. Quality of the prime beef cuts and the pork are outrageously good and absolutely delicious....Ordered food for take out.... A really simple order oxtail soup. The person taking my order says it will be 20min. I arrive in 20 min and they completely...So , happy hours 9-close but not on the menu 
Happy hour is a la carte BE AWARE ( very small portions)
YES, the prices went up on the menu 
I was wondering..."
"American (New)","Had to try this Triple D, Guy Fieri recommendation...
I Loved the Duck Bao!! Everyone loves the Pork Belly Bao, which was delicious also, but I liked the...Seeing all the reviews that Fat Choy was featured in DDD made me really curious about this place. Fat Choy is tucked in away in the smallest little casino...Food and staff were great but it's just located in a shabby lil casino. 

We also checked into Fat Choy on yelp and got a free yelp dessert! 

Very old..."
"Thai","Thai curry was excellent! The peanut sauce with the vegetable spring rolls was sublime. Everyone in our group (six people) loved what they ordered. Our...Komol offers a huge variety of vegetarian and non-vegetarian Thai food. There's tons of free parking in the plaza's massive parking lot.

Their spice levels...Decent prices and excellent Thai food!! The Curry Panang is really good. And it comes with a rice bowl, so it should fill you up. The sauce has basil in it,...Thai curry was excellent! The peanut sauce with the vegetable spring rolls was sublime. Everyone in our group (six people) loved what they ordered. Our...Komol offers a huge variety of vegetarian and non-vegetarian Thai food. There's tons of free parking in the plaza's massive parking lot.

Their spice levels...Decent prices and excellent Thai food!! The Curry Panang is really good. And it comes with a rice bowl, so it should fill you up. The sauce has basil in it,..."
"Vegan","Thai curry was excellent! The peanut sauce with the vegetable spring rolls was sublime. Everyone in our group (six people) loved what they ordered. Our...Komol offers a huge variety of vegetarian and non-vegetarian Thai food. There's tons of free parking in the plaza's massive parking lot.

Their spice levels...Decent prices and excellent Thai food!! The Curry Panang is really good. And it comes with a rice bowl, so it should fill you up. The sauce has basil in it,...Thai curry was excellent! The peanut sauce with the vegetable spring rolls was sublime. Everyone in our group (six people) loved what they ordered. Our...Komol offers a huge variety of vegetarian and non-vegetarian Thai food. There's tons of free parking in the plaza's massive parking lot.

Their spice levels...Decent prices and excellent Thai food!! The Curry Panang is really good. And it comes with a rice bowl, so it should fill you up. The sauce has basil in it,..."
"American (New)","I came here because I dropped out of High School, so this restaurant really connected with me. I feel like I have a great connection to the name of this...I am going to preface this review by saying that I was a little inebriated the first time I was here and thought the food was 5 stars. When I came back...Hip place located inside the casino. I was eager to try this place, and decided to check it out for lunch during restaurant week. 

Food was good. Not mind..."
"Mexican","Absolutely amazing.  Definitely my favourite meal during this trip.  Service was attentive without being overbearing.

We both ordered the beef enchilada...Recently went to Las Vegas and decided to try this Javier's since the Javier's back home (Newport Beach) is my absolute favorite restaurant!  While the food...There is not one bad thing I can say about this place. A friend and I stopped in for a late dinner after a Friday night hockey game. 

We did not have a..."
"American (Traditional)","Keto or low friendly? (I'm not a dietician)

Yes. Massive menu. I think it's related to Cheesecake Factory.  For entrees they comes w mash potatoes, I asked...We ate here for breakfast and it was very good. I had the plain French toast and my husband had an omelette. Both were delicious. The French toast is a...Chris our waiter was super nice and gave us so much service!! Enjoyed our late night dinner after the show. This is one of the few restaurants that are open..."
"American (New)","The decor falls firmly in the zone of Tim Burton garage sale chic. It's actually a pretty amazing place to experience, and while the food and drinks are...The vibes of this place are top! We sat out in the patio and loved the decor and feeling. Super cute and hip spot. 

We made a reservation for 10:30 for a...The food and drinks are always phenomenal here. The Fried pickles are always a must when I come in. This particular visit I tried the egg sandwich and added..."
"American (New)","My husband and I came on a Monday for date night. We chose to come to the one on the strip because we need to cash some chips at the flamingo. I forget how...""Yard House, what you've just served is one of the most insanely terrible things I have ever had. At no point in my failed dining experience were you even...I used to love yard house a lot. The only reason I come back is because of the onion ring tower, seared ahi tuna and appetizers. The entrees aren't really..."
"Italian","Went back to Esther's Kitchen, this time for Sunday brunch. I was nosy, asking folks who were leaving how their experience was, what they'd recommend and...Came here on a busy week day with a reservation but was still leery that service and quality might be lacking. To my excitement everything from food, drinks...This places is nice I have been twice and the foods ok.
but this last time it took forever for the girl to take our drink order,And like 8 people passed us..."
"Mexican","My husband and I stopped in for lunch and to redeem our Groupon as today was the last day to use it. Upon entering the restaurant, we were greeted by a...This place is perfect when you're buzzing around downtown in the Arts District! The area is pretty awesome. I was there during a First Friday event. The...Very surprised at the good reviews here. The only reason I give two stars is for the wait staff. When we walked in, we were ignored by the woman at the..."
"Thai","I was delighted to find such fabulous, inexpensive Thai food in Vegas! My lunch was only 7.95 and the yellow curry was the best I've had in Nevada. Portion...Wow!!! Now I know why people give this restaurant a 5 star review.  I was looking for a good thai restaurant to try off the strip and I am so glad to find...I know that we have many Thai options in town and I've tried most of them so I'd like to share that this place is definitely one of the best!

I love the..."
"Mexican","Great service and table side guacamole. Lots of free stuff like soup and chips and salsa while you wait for the food. I got the burrito and oysters for...It was lunchtime and we were in the mood for Mexican. This place seemed to have a high rating on Yelp so we thought we'd give it a try.

We arrived and had...For our last night in Vegas, my colleague requested authentic Mexican food off the strip. After checking yelp and talking to a few locals, they all..."
"Mexican","This place has one of the healthiest and best Mexican food for a very reasonable price.

The ambiance is also very nice. The place is decorated with whittle...Walked in with friends on a Saturday evening. The owner was very welcoming and greeted us. He informed us of the yummy menu, some of which contained vegan...Great food, affordable price and outstanding service. 

Everything is so fresh! I recommend getting the cheese warmed before putting on your taco. See the..."
"Korean","AMAZING!!!! 

My husband and I enjoy trying new restaurants ever Friday. This Friday it was 8oz Korean Steak House! 

The service was incredible! We made...The quality of meat and seafood was so good !! I can eat without sauce.
Service was the best of korean bbq that I ever try.
I definitely come back If I go...An absolute yes! If you've got a hankering for mean Korean BBQ in Las Vegas, give this place a gander. From their memorable service to the quality cuts of..."
"Italian","Cam here at noon on a Sunday , no line 

Service is solid 5 star 

We ordered 

Grilled octopus: 4 star, it has good flavor and texture 

Cauliflower soup:...Disclaimer: I went Nov 2018. The food was good but not phenomenal. However, the overall service (and I think our server's name was Bryce) was EXCELLENT. I...Was too hungry to take a pic, but food was satisfying!

Bolognese, Spaghetti, and Mushroom Pizza was good down to the last bite. I have to say it was all..."
"Vietnamese","We were looking for a place to eat pho in China town and started exploring Yelp. The first 2 places we went to were completely empty. (Not a good sign) so...I use to love coming here drunk/sober so I remember it use to be good. Service was always whatever but we would come late night. Tonight we had the calamari...First time having pho! My mom was raving about this place and brought me and my husband here for a nice family meal. They are open 24/7 which is very...We were looking for a place to eat pho in China town and started exploring Yelp. The first 2 places we went to were completely empty. (Not a good sign) so...I use to love coming here drunk/sober so I remember it use to be good. Service was always whatever but we would come late night. Tonight we had the calamari...First time having pho! My mom was raving about this place and brought me and my husband here for a nice family meal. They are open 24/7 which is very..."
"Chinese","We were looking for a place to eat pho in China town and started exploring Yelp. The first 2 places we went to were completely empty. (Not a good sign) so...I use to love coming here drunk/sober so I remember it use to be good. Service was always whatever but we would come late night. Tonight we had the calamari...First time having pho! My mom was raving about this place and brought me and my husband here for a nice family meal. They are open 24/7 which is very...We were looking for a place to eat pho in China town and started exploring Yelp. The first 2 places we went to were completely empty. (Not a good sign) so...I use to love coming here drunk/sober so I remember it use to be good. Service was always whatever but we would come late night. Tonight we had the calamari...First time having pho! My mom was raving about this place and brought me and my husband here for a nice family meal. They are open 24/7 which is very..."
"Italian","Pizza here is served both deep dish and thin crust. I'm kind of torn about my review. I did not really love the tase or the food which is why I'm only...Giordanos is definitely a familiar name when you hear about Chicago deep dish pizza, so I had to try it when I saw a location on the Vegas strip. We showed...The best pizza! Chicago deep dish pizza. Great flavor, great options and the best service.

If you enjoy pizza this is the place to go on the Las Vegas Strip."
"Vegan","Where do I even begin?  Well....  how about with the fact that I took my 80-year old mother and family for a birthday celebration to Chef Kenny.  

I have...Once again... not a fan.

I'm not sure what is going on but this food (regrettably placed a delivery) is the same stale, oily food of the past.

I remember...During my most recent Vegas trip, I met up with my new yelp friend, Dee. After having a wonderful time at a chocolate tasting class at Ethel Chocolates, we...Where do I even begin?  Well....  how about with the fact that I took my 80-year old mother and family for a birthday celebration to Chef Kenny.  

I have...Once again... not a fan.

I'm not sure what is going on but this food (regrettably placed a delivery) is the same stale, oily food of the past.

I remember...During my most recent Vegas trip, I met up with my new yelp friend, Dee. After having a wonderful time at a chocolate tasting class at Ethel Chocolates, we..."
